19300524,116,52,NY1,6,000201111,32,1,PHI,7,000300103,30,0
19300524,117,54,CHN,5,002000120,36,2,PIT,3,000010002,31,0
19300524,96,51,CIN,1,100000000,31,0,SLN,5,03100001x,33,1
19300524,111,51,CIN,0,000000000,32,1,SLN,8,10200032x,34,0
19300525,105,54,CHA,9,010043100,31,1,CLE,1,100000000,34,0
19300525,130,54,PHA,10,100400302,35,0,NYA,3,100200000,33,0
19300525,161,54,DET,9,220311000,36,0,SLA,8,012030020,34,1
19300525,98,51,BOS,0,000000000,34,0,WS1,5,10000202x,35,0
19300525,135,58,NY1,3,0000000300,33,0,BRO,4,1101000001,34,1
19300525,143,54,SLN,6,000010401,35,0,CHN,3,111000000,37,1
19300525,119,60,PIT,6,1020002001,32,1,CIN,5,1000020020,33,1
19300525,109,52,PIT,3,102000000,33,0,CIN,4,000001021,34,0
19300526,111,51,CHA,3,000000300,32,1,CLE,7,00007000x,35,0
19300526,115,51,CHA,2,001000010,33,0,CLE,5,00100310x,36,1
19300526,129,54,WS1,10,000270100,36,1,NYA,7,301001200,34,0
19300526,114,51,BOS,5,000000140,35,0,PHA,8,02012201x,36,0
19300526,133,54,DET,7,030000031,37,0,SLA,3,200000100,35,2
19300526,122,51,NY1,0,000000000,34,0,BRO,7,10100005x,35,2
19300526,99,54,CIN,6,000005010,35,0,CHN,2,000200000,38,0
19300526,123,54,SLN,10,200401120,36,1,PIT,4,000310000,34,0
19300527,97,51,CHA,2,000000011,34,0,CLE,3,00000210x,37,0
19300527,140,53,CHA,8,000100214,35,0,CLE,9,200100402,38,0
19300527,117,54,WS1,7,101000230,37,2,NYA,2,000100010,35,0
19300527,121,51,BOS,5,100101020,36,0,PHA,7,00020230x,37,1
19300527,164,54,DET,16,002341501,38,1,SLA,11,000155000,36,0
19300527,101,54,NY1,3,100200000,35,1,BRO,1,000000010,36,0
19300527,116,51,SLN,5,010003100,37,0,PIT,8,04002020x,35,1
19300528,98,51,DET,2,200000000,39,0,SLA,4,00100012x,37,0
19300528,113,51,PHI,1,000000100,31,0,BSN,5,11000120x,33,1
19300528,112,51,CIN,5,000013001,36,0,CHN,6,40001100x,39,0
19300529,114,51,WS1,2,100000001,38,0,NYA,4,02100100x,36,1
19300529,76,51,BOS,1,000001000,37,0,PHA,2,01000010x,38,0
19300529,88,51,NY1,1,000010000,36,0,BRO,4,01000201x,37,1
19300530,117,54,DET,5,000003020,40,0,CLE,2,000100100,39,1
19300530,130,54,DET,9,000142200,41,1,CLE,6,000002211,40,0
19300530,132,53,BOS,5,010200002,38,0,NYA,6,101002011,37,2
19300530,125,51,BOS,3,001000011,39,0,NYA,7,00510010x,38,1
19300530,180,77,WS1,6,0100040100000,39,0,PHA,7,2010000030001,39,0
19300530,144,51,WS1,11,131203001,40,1,PHA,15,21152310x,40,0
19300530,145,60,CHA,7,0100300003,36,0,SLA,4,2000000110,38,0
19300530,112,51,CHA,3,010010010,37,0,SLA,4,00000220x,39,0
19300530,115,51,PHI,1,000000100,32,0,BRO,11,52020020x,38,0
19300530,155,51,PHI,9,200250000,33,0,BRO,11,00234101x,39,0
19300530,105,52,NY1,5,100004000,37,1,BSN,6,001110102,34,0
19300530,120,52,NY1,5,102000020,38,0,BSN,6,001000131,35,1
19300530,88,51,SLN,0,000000000,38,0,CHN,2,01100000x,40,1
19300530,161,59,SLN,8,4002002000,39,1,CHN,9,0403001001,41,2
19300530,107,54,CIN,9,000040401,37,1,PIT,1,000010000,36,0
19300530,107,51,CIN,6,000002022,38,0,PIT,7,21310000x,37,0
19300531,115,51,DET,4,200000011,42,1,CLE,7,00502000x,41,0
19300531,128,51,BOS,2,000000110,40,0,NYA,5,14000000x,39,0
19300531,112,51,WS1,3,020100000,41,1,PHA,7,04002001x,41,0
19300531,110,53,CHA,2,000010010,38,0,SLA,3,000000102,40,1
19300531,122,54,PHI,3,200000001,34,2,BRO,1,010000000,40,0
19300531,105,51,NY1,2,000000002,39,1,BSN,3,00120000x,36,1
19300531,143,53,SLN,5,011110100,40,0,CHN,6,000002013,42,0
19300531,129,54,CIN,10,011330020,39,0,PIT,4,002010100,38,0
19300601,114,51,DET,2,100000010,43,0,CLE,3,00300000x,42,1
19300601,120,54,BOS,7,001202200,41,1,NYA,4,010010011,40,0
19300601,130,54,PHA,9,002006100,42,0,WS1,6,010011120,42,0
19300601,123,54,CHA,8,104000300,39,0,SLA,5,000020120,41,0
19300601,129,51,PHI,2,000000101,35,0,BRO,10,14030020x,41,0
19300601,119,54,NY1,9,010002123,40,1,BSN,4,200001001,37,0
19300601,92,42,NY1,16,01(12)0003,41,0,BSN,3,0100020,38,1
19300601,131,51,PIT,4,020000011,39,0,CHN,16,01530241x,43,0
19300601,125,52,SLN,4,020000200,41,0,CIN,5,000100031,40,0
19300601,86,42,SLN,1,0000010,42,0,CIN,7,0204100,41,1
19300602,135,51,SLN,6,400020000,43,1,PHI,9,00022032x,36,0
19300603,126,54,NYA,13,140131021,41,1,CHA,7,100001302,40,0
19300603,103,51,BOS,3,000000021,42,0,CLE,8,00040103x,43,0
19300603,127,54,WS1,8,070000010,43,0,DET,4,100001200,44,0
19300603,107,54,PHA,4,000000211,43,0,SLA,1,000001000,42,0
19300603,106,52,PIT,5,020100011,40,1,BRO,6,202001001,42,0
19300603,112,54,CHN,15,000053232,44,1,BSN,2,000010100,39,0
19300603,118,51,CIN,1,100000000,42,0,NY1,9,24200010x,42,0
19300603,148,54,SLN,11,102012410,44,0,PHI,10,101200303,37,0
19300604,147,59,NYA,7,0011203000,42,1,CHA,8,2000050001,41,0
19300604,120,60,BOS,5,2000101001,43,0,CLE,4,2101000000,44,0
19300604,168,60,WS1,11,3020030003,44,2,DET,8,0011002310,45,0
19300604,115,54,PHA,4,000011020,44,0,SLA,3,100000020,43,1
19300604,118,54,PIT,12,410301030,41,0,BRO,6,000330000,43,0
19300604,135,54,CHN,18,331406100,45,0,BSN,10,010243000,40,0
19300604,115,51,CIN,5,100000301,43,0,NY1,8,60020000x,43,0
19300604,108,51,SLN,1,010000000,45,1,PHI,2,10100000x,38,1
19300605,114,51,BOS,7,103000030,44,0,CLE,17,90200033x,45,0
19300605,120,51,WS1,2,000200000,45,0,DET,6,14000100x,46,0
19300605,116,53,PHA,5,020000201,45,0,SLA,6,000010005,44,0
19300605,148,51,PIT,5,100001210,42,1,BRO,6,10004100x,44,0
19300605,135,54,CHN,10,012040102,46,0,BSN,7,301010011,41,1
19300605,95,51,CIN,4,003000010,44,0,NY1,7,10100221x,44,0
19300605,108,51,SLN,4,000000004,46,0,PHI,10,01012123x,39,0
19300606,117,51,BOS,4,020001010,45,1,CLE,9,01102005x,46,0
19300606,120,54,PHA,5,210000101,46,0,SLA,4,000100102,45,0
19300606,125,54,CHN,13,010222222,47,0,BRO,0,000000000,45,0
19300606,120,54,PIT,4,000010201,43,1,BSN,3,010200000,42,0
19300606,110,51,SLN,7,300003001,47,0,NY1,10,04050001x,45,1
19300606,121,51,CIN,5,040000001,45,0,PHI,14,42043010x,40,0
19300607,117,51,PHA,5,210100001,47,0,CHA,6,22002000x,42,0
19300607,87,51,BOS,0,000000000,46,1,DET,6,00014010x,47,0
19300607,122,54,NYA,12,710004000,43,0,SLA,5,000004010,46,0
19300607,155,51,CHN,9,302202000,48,1,BRO,12,00350031x,46,1
19300607,93,51,PIT,4,000001021,44,0,BSN,6,12010011x,43,0
19300607,132,51,SLN,7,200040100,48,0,NY1,9,40000050x,46,0
19300608,108,54,PHA,6,100140000,48,0,CHA,3,001200000,43,0
19300608,118,52,WS1,2,001001000,46,2,CLE,3,100000101,47,0
19300608,60,36,BOS,0,000000,47,0,DET,1,100000,48,0
19300608,126,51,NYA,4,011100010,44,0,SLA,5,00000005x,47,0
19300608,101,51,CHN,0,000000000,49,0,BRO,6,03001002x,47,1
19300608,109,51,PIT,6,000000600,45,0,BSN,10,08200000x,44,1
19300608,105,51,SLN,1,000000100,49,0,NY1,4,00101002x,47,0
19300608,119,51,PHI,4,000100300,41,0,CIN,5,20021000x,46,0
19300608,104,54,PHI,9,223101000,42,0,CIN,2,000000200,47,0
19300609,125,54,PHA,3,100000002,49,1,CHA,2,100010000,44,0
19300609,112,51,WS1,4,000030010,47,0,CLE,5,00200102x,48,0
19300609,131,54,BOS,7,000011500,48,0,DET,6,013001010,49,0
19300609,127,54,NYA,8,313000001,45,0,SLA,5,010003010,48,0
19300610,153,65,PHA,6,00020200020,50,0,CHA,7,00004000021,45,1
19300610,128,54,NYA,5,320000000,46,1,SLA,3,010001010,49,0
19300610,140,54,BOS,12,205010103,49,0,DET,6,202200000,50,0
19300610,115,60,SLN,2,0000000011,50,0,BSN,1,0000100000,45,0
19300610,109,51,CHN,2,110000000,50,0,PHI,6,10011030x,43,0
19300611,112,54,WS1,2,000100001,48,1,CHA,1,000000010,46,0
19300611,125,51,PHA,2,000001001,51,0,CLE,6,01000113x,49,0
19300611,160,51,NYA,7,003100210,47,0,DET,13,01014070x,51,0
19300611,97,52,CIN,1,000000010,48,0,BRO,2,010000001,48,0
